PEA No,พิกัด (kVA),เฟส,เขต,ประเภทธุรกิจ,กฟฟ.,จังหวัด,เจ้าของ,อายุ (ปี),Serial No.,Health,Risk Score,Impact Index,วันที่ตรวจสภาพล่าสุด,ผลตรวจฉนวน (I),ผลตรวจน้ำมัน (O),ผลตรวจกายภาพ (P),%โหลด Peak,Latitude,Longitude,สถานที่ติดตั้ง,ประเภทพื้นที่,รูปแบบการติดตั้ง,มีข้อมูล GIS,GIS Tag,มีข้อมูล SAP-ADS,เลขอุปกรณ์,สถานะระบบ (SAP),เลขสินทรัพย์,รหัสพัสดุ,รายละเอียดพัสดุ,ระดับแรงดัน (kV),ชื่อผลิตภัณฑ์,สถานะการรับประกัน,วันเริ่มรับประกัน (ค่าดิบ),วันสิ้นสุดรับประกัน (ค่าดิบ),ฟีดเดอร์,เดือนที่ Peak,%Load,Ia (A),Ib (A),Ic (A),In (A),Ia Peak (A),Ib Peak (A),Ic Peak (A),%Load a (Peak),%Load b (Peak),%Load c (Peak),%Load Phase (Peak),% Unbalance,% Unbalance (Peak),แรงดันต่ำสุด (V),แรงดันต่ำสุด Peak (V),ความยาวสายไกลสุด (m),Loss (W),Sum kWh,จำนวนมิเตอร์,จำนวน PV มิเตอร์,จำนวน EV มิเตอร์,จำนวนลูกค้า VIP
TR23-011134,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,46,3C33605,Medium,33610.46,1045,22/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,10.61,18.38131229,98.77401135,DCC_02-หล่ายแก้วซ้ายมือ 2,เทศบาลตำบล,,ใช่,1151XF000002751,ใช่,1000001315,ESTO,460177424,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,หมดประกัน,,,BGA04,พฤษภาคม,5.23,13.66,7.82,14.77,6.41,29.27,19.11,25.12,12.61999989,8.239999771,10.82999992,12.61999989,35.28275862,22,227.1,222.88,864.5,391,4351,45,,,45
TR23-011142,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,46,3C33645,Low,4819.46,578,11/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,19.3,18.33117205,98.77080699,DCC_xx บ้านน้ำเพอพะหน้าโรงเรียน,ชนบท,,ใช่,1151XF000002505,ใช่,1000001371,ESTO,460177425,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,หมดประกัน,,,BGA01,พฤษภาคม,13.89,30.79,38.17,27.28,9.48,48.72,43.75,41.28,21.01000023,18.87000084,17.79999924,21.01000023,18.98379052,9.278504673,216.07,215.57,658.82,529,12560,78,,,78
TR24-013326,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,45,81311,Medium,33730.45,651,16/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,30.44,18.26760359,98.83334999,DCC_xx บ้านทุ่งม่านหน้าโรงเรียน,ชนบท,,ใช่,1151XF000002804,ใช่,1000001449,ESTO,460177479,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,หมดประกัน,,,BGA02,มิถุนายน,22.69,65.07,39.67,52.52,21.99,85.91,55.31,69.82,37.04999924,23.85000038,30.11000061,37.04999924,24.32277757,22.12376801,220.41,216,816.78,916,22677,151,,,151
TR24-014820,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,45,3C36799,High (H1),48009.45,521,13/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,9.18,18.1971438,98.83369554,DCC_02 บ้านวังหลวง,ชนบท,นั้งร้าน,ใช่,11XFAA000027398,ใช่,1000028857,INST,460633972,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,,,,BGA01,พฤษภาคม,4.59,7.53,2.07,0.34,6.5,13.51,2.67,3.7,18.63999939,3.680000067,5.110000134,18.63999939,127.2635815,103.8732394,229.42,228.26,723.19,100,1189,21,,,21
TR24-014884,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,45,3C36863,Medium,33604.45,514,15/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,4.08,18.17152808,98.89757946,DCC_02สวนเกษตรบ้านแม่หาดนอก,ชนบท,นั้งร้าน,ใช่,11XFAA000021980,ใช่,1000029565,INST,460324234,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,หมดประกัน,,,BGA02,พฤษภาคม,1.91,0.56,0.71,2.86,2.23,5.62,0.65,2.57,7.760000229,0.899999976,3.549999952,7.760000229,107.748184,90.7239819,230.05,227.17,842.43,90,465,14,,,14
TR24-015882,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,45,H19473247,High (H1),52805.45,525,19/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,5.82,18.38543031,98.7987447,DCC_02- บ้านเหล่ายาวเหนือ (สวนพ่อหลวงศรีวัย),ชนบท,นั้งร้าน,ใช่,1151XF000002851,ใช่,1000001299,ESTO,460177511,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,HITACHI,หมดประกัน,,,BGA04,พฤษภาคม,2.21,6.27,4.21,4.84,1.82,19.01,9.95,11.39,8.199999809,4.289999962,4.909999847,8.199999809,22.78067885,41.33828996,229.9,228.55,843.57,213,1856,25,,,25
TR24-016159,250,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,45,81704,High (H1),48104.45,577,11/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,4.32,18.34620019,98.76250572,DCC_02บ้านน้ำเพอะพะ(ทางรถไฟ),ชนบท,,ใช่,1151XF000002774,ใช่,1000001599,ESTO,460177525,1050010009,"TR., 250 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,BGA01,มีนาคม,2.79,7.73,12.89,9.55,4.51,18.08,21.6,7.13,4.989999771,5.960000038,1.970000029,5.960000038,28.17368247,54.30463576,229.33,228.03,709.58,274,6589,77,,,77
TR25-000564,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,44,3C38160,High (H1),48014.44,1047,6/2/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,14.39,18.42328598,98.78790191,DCC_xx บ้านเหล่าดู่ (ซอยอนามัย),เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000002332,ใช่,1000001747,INST,460177554,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,หมดประกัน,,,CEA04,พฤษภาคม,9.79,17.61,13.12,11.66,5.4,26.21,18.57,17.55,18.07999992,12.81000042,12.10999966,18.07999992,24.62845011,26.15113108,224.21,221.64,939.36,283,5787,47,,,47
TR25-001753,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,44,30433,Medium,34408.44,518,10/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,8.62,18.2934966,98.83729074,DCC_02-บ้านห้วยน้ำดิบ ซอย 10 (1),ชนบท,,ใช่,1151XF000002788,ใช่,1000827486,INST,460177576,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,,,,BGA02,มีนาคม,5.97,7.83,0.86,4.24,6.04,12.79,0.92,4.96,17.64999962,1.269999981,6.840000153,17.64999962,81.67053364,105.516872,227.81,228.24,815.89,91,1432,18,,,18
TR25-002174,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,44,3C40778,Medium,19230.44,553,5/5/2025,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,30.81,18.35448095,98.80906242,DCC_ปากทางม่วงโตน,ชนบท,นั้งร้าน,ใช่,1151XF000002767,ใช่,1000001541,INST,460177588,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,หมดประกัน,,,BGA04,พฤษภาคม,20.99,23.34,13.46,8.66,12.95,27.14,27.06,12.52,37.45000076,37.34000015,17.28000069,37.45000076,54.02551694,43.70503597,227.45,227.01,781.36,193,6026,53,,,53
